Diferencial,Genetico
19.60364013,19.00040654
19.58527816,19.34761074
19.53412064,19.48086247
19.61108059,19.05191907
19.60336789,19.30057064
19.61346389,18.61184397
19.5748375,19.2244312
19.58892388,19.46441265
19.51822568,18.98529505
19.58447239,19.3079462
19.60661194,19.03442893
19.61396419,19.28194195
19.59796357,19.24019387
19.61198079,19.4826994
19.48865772,19.05080363
19.56582313,19.24516481
19.60618281,19.36827411
19.60938456,19.17392015
19.61238714,19.01281352
19.59966729,19.06377024
19.46405545,18.92448408
19.5869094,19.48068754
19.61123158,19.2263441
19.56873161,18.6785541
19.61388276,19.33022387
19.61324634,19.00603722
19.59894837,19.0783558
19.56527642,19.15336313
18.82538727,19.29031762
19.59902861,19.12224673
19.60435051,19.00627972
19.59723376,19.35746326
19.57279143,18.99945655
19.60487827,18.79110982
19.51868037,19.19253218
19.42947924,18.85551898
19.60914997,19.2849994
19.5929263,19.16723582
19.58568758,18.90810854
19.6108258,18.92668162
